iter	Passed	Remaining
0	146	146267
1	155	77524
2	166	55210
3	175	43817
4	186	37210
5	196	32554
6	203	28843
7	212	26411
8	224	24745
9	234	23219
10	241	21693
11	251	20672
12	258	19639
13	266	18738
14	273	17953
15	281	17291
16	287	16646
17	294	16080
18	301	15559
19	308	15093
20	314	14684
21	321	14312
22	329	13975
23	335	13624
24	342	13362
25	349	13089
26	356	12832
27	363	12627
28	370	12418
29	377	12213
30	385	12042
31	392	11862
32	400	11721
33	408	11600
34	415	11444
35	421	11287
36	428	11163
37	436	11041
38	444	10945
39	451	10840
40	459	10741
41	466	10643
42	473	10547
43	480	10444
44	487	10351
45	495	10266
46	501	10170
47	509	10105
48	517	10038
49	524	9958
50	530	9877
51	537	9802
52	544	9735
53	552	9675
54	559	9621
55	567	9570
56	575	9523
57	583	9472
58	591	9427
59	598	9379
60	607	9349
61	615	9316
62	624	9295
63	634	9277
64	643	9250
65	651	9214
66	660	9203
67	669	9174
68	677	9142
69	685	9112
70	694	9081
71	701	9042
72	710	9020
73	718	8988
74	726	8955
75	733	8922
76	742	8904
77	751	8877
78	759	8857
79	767	8823
80	774	8790
81	783	8774
82	790	8733
83	798	8703
84	805	8672
85	813	8645
86	822	8631
87	830	8608
88	838	8581
89	847	8572
90	855	8541
91	862	8509
92	869	8475
93	875	8440
94	882	8409
95	890	8381
96	897	8354
97	904	8322
98	911	8291
99	917	8260
100	925	8239
101	933	8214
102	940	8187
103	946	8158
104	954	8138
105	962	8114
106	969	8095
107	977	8069
108	984	8046
109	991	8020
110	998	7999
111	1005	7974
112	1013	7956
113	1020	7933
114	1028	7911
115	1034	7885
116	1041	7857
117	1047	7829
118	1053	7801
119	1060	7775
120	1067	7751
121	1073	7725
122	1079	7699
123	1086	7676
124	1094	7660
125	1101	7640
126	1108	7618
127	1114	7595
128	1121	7573
129	1128	7549
130	1134	7527
131	1141	7506
132	1147	7480
133	1154	7460
134	1161	7439
135	1167	7414
136	1173	7394
137	1180	7372
138	1187	7354
139	1193	7334
140	1200	7314
141	1206	7291
