Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Machine failure,TWF,HDF,PWF,OSF,RNF
298.87504563390866,308.261602956718,1750.569726368219,25.083361577863965,259.4298587707269,M,0,0,0,0,0,0
299.4331341195998,308.4763876206659,1530.083810574885,31.660144803264217,121.88524630801726,L,0,0,0,0,0,0
302.05958888860994,310.222604386093,1395.199721874354,42.719959585078875,182.7868096820826,M,0,0,0,0,0,0
300.5089152361413,310.3438434381713,1646.8966788535351,35.071264106791915,156.47229712218024,M,0,0,0,0,0,0
300.3017788442255,309.029996461556,1399.6447279409915,30.69012403831915,278.4535068169988,L,0,0,0,0,0,0
298.5961730938343,310.47294921147477,1283.4028874527276,53.99030735052665,94.24642826390001,L,0,0,0,0,0,0
296.78006881989666,311.30881486009,1628.2397149591059,29.71718719396963,156.1093364997596,M,0,0,0,0,0,0
295.8125729454248,310.250113571561,1800.536970528634,40.364559419100395,-40.16071930655286,L,0,0,0,0,0,0
295.71262083444,313.6123328469775,1538.517554981387,49.30657787590261,102.98008226638555,M,0,0,0,0,0,0
300.08924261867446,307.15880883658065,1481.4283150774738,41.1965264851838,55.35207448887983,M,0,0,0,0,0,0
299.8758436887679,310.11101951374684,1205.4891997283307,53.55028157763411,216.88200369577117,M,0,0,0,0,0,0
301.8699778358771,310.03941435064235,1690.0950478691948,47.34495548028532,120.04047459157701,M,0,0,0,0,0,0
297.1874652226928,311.91785036326075,1549.6034465577757,31.824118911472993,40.016962206646,L,0,0,0,0,0,0
300.8659519228696,306.86123447708553,1405.3826389410822,25.879488756053256,125.66787071793513,M,0,0,0,0,0,0
302.1818568240132,310.8126195866237,1586.7740239677564,36.05534211418987,65.8291043371178,L,0,0,0,0,0,0
297.00525761042456,311.1490245953327,1852.9539708616167,35.6366730293823,13.470359094785195,M,0,0,0,0,0,0
300.1274740096752,308.11041707288797,1457.6951186259362,52.611033875117265,81.89919352783936,L,0,0,0,0,0,0
297.1939996313359,309.07300207863403,1566.201402859795,35.52710330791112,64.47857665057266,M,0,0,0,0,0,0
300.90166976969505,307.9625695222242,1618.840538680462,53.42289617688422,80.19542596670803,M,0,0,0,0,0,0
302.3074846231942,310.26449408126103,1182.499231056331,64.95091882449756,117.05675887996115,M,0,0,0,0,0,0
299.6550701489638,309.71090025052456,1518.0434214014542,49.607565876308676,126.04808103697123,M,0,0,0,0,0,0
299.4059050744916,309.387158704799,1689.7279995888566,40.18718221782911,97.76714125141915,M,0,0,0,0,0,0
303.02766462802487,308.4388607874598,1467.6860573598233,55.134626745908676,101.08931805848798,L,0,0,0,0,0,0
298.4732396248999,309.84434898163727,1575.8099820259022,32.20278267538787,66.23275306264466,M,0,0,0,0,0,0
299.42634008383015,312.8858226080972,1600.5508628073974,31.689206059035648,249.18685993932962,L,0,0,0,0,0,0
301.99845161453055,309.82349517940054,1488.6998089928627,42.80979891882101,86.44830873800589,H,0,0,0,0,0,0
298.0007507357152,308.91214902756064,1351.9967950687037,20.52724985944871,149.3968295926451,H,0,0,0,0,0,0
